name,rmse,mae,rmse_ci,mae_ci
SVD,0.9779010943717316,0.765025381549442,0.001615130482515048,0.0024907205458266635
SVDpp,0.8494315667422165,0.6361062175821475,0.003079910926766405,0.002286610884920215
SVDpp,0.8494315667422165,0.6361062175821475,0.003079910926766405,0.002286610884920215
NMF,1.5425204551627603,1.2877166740951513,0.009609208678950987,0.008440042143447402
SlopeOne,1.1308743606325524,0.8758481708661481,0.0034173615032175864,0.0025676309922970653
KNNBasic,1.0766482409602713,0.7941652431266368,0.0044332515989427,0.0023332212690926335
KNNWithMeans,1.009039467328911,0.7681343492835259,0.003196462949002443,0.0018250601269014233
KNNBaseline,1.0079650777355207,0.7657955278947476,0.003265741191706084,0.0018965928492628015
CoClustering,0.9821757236689301,0.7362333289168189,0.00246991372136518,0.001514126959402673
BaselineOnly,1.1545693625795415,0.9343595023132372,0.0020845868542769264,0.0016323365461223815
NormalPredictor,2.126236670214472,1.7058408291218565,0.006853218272215855,0.005049579098110435
